iter	Accuracy	MultiClass
0	0.4326870155	1.4495522
1	0.4631315752	1.294318607
2	0.5079649636	1.171106358
3	0.5314903052	1.108756671
4	0.5451714865	1.073843635
5	0.558192197	1.042671234
6	0.5744838106	1.004554731
7	0.5742951047	1.004287835
8	0.5799562831	0.9913637268
9	0.5850198928	0.9789838797
10	0.591404444	0.9638511834
11	0.5957761318	0.9515476855
12	0.5974115834	0.9466116216
13	0.6058247236	0.9284044499
14	0.6100077055	0.9204476979
15	0.6158733154	0.906137299
16	0.6250255539	0.8891850582
17	0.6290041044	0.8817666863
18	0.632259282	0.8727913786
19	0.635718891	0.8619734907
20	0.6403893633	0.8519816752
21	0.646915444	0.8387566201
22	0.6580333695	0.8182285168
23	0.6641820383	0.8059006077
24	0.6717931783	0.7920443337
25	0.6794043182	0.7773326276
26	0.6814486327	0.7714426676
27	0.6855372616	0.7637105629
28	0.6902706358	0.7542518994
29	0.6918903618	0.7496471617
30	0.6939975783	0.7442120484
31	0.7024736205	0.7279635793
32	0.7037002091	0.7253052801
33	0.7074114261	0.7171434991
34	0.7094557406	0.7132509111
35	0.7118774669	0.70879402
36	0.7135129185	0.7034701609
37	0.7197087638	0.6912662425
38	0.7243792361	0.6842731374
39	0.7250239814	0.6828205326
40	0.7258259817	0.6804968833
41	0.7293170417	0.6731904341
42	0.7333899451	0.6661747778
43	0.7368495542	0.6596738728
44	0.7412055165	0.6504022935
45	0.7442405372	0.6447332278
46	0.7450739885	0.6422634995
47	0.7470554009	0.6384153449
48	0.7485335975	0.636276089
49	0.7510182258	0.6310135963
50	0.7525121479	0.6290152471
51	0.7550911292	0.6248618821
52	0.7569939142	0.6203208115
53	0.759651523	0.6152021853
54	0.7619474454	0.6108314267
55	0.7645736032	0.6055473081
56	0.7673727414	0.6001210088
57	0.7705807426	0.5931591087
58	0.7721690176	0.5900453627
59	0.7738516457	0.5876203388
60	0.77621047	0.5830270784
61	0.7786479219	0.5790413358
62	0.7794499222	0.5776803408
63	0.779984589	0.5765314673
64	0.7820918054	0.5721226696
65	0.7859760029	0.5662117231
66	0.7864477678	0.5646853496
67	0.791055338	0.5567513737
68	0.7920774952	0.5541131757
69	0.7935871428	0.5510907714
70	0.7962447516	0.5479602079
71	0.7979273797	0.5449507662
72	0.7992797723	0.5430136085
73	0.8000817726	0.5406254785
74	0.8036357346	0.5346540044
75	0.8059473825	0.5303212356
76	0.8083533833	0.5253740229
77	0.8103662468	0.5218915455
78	0.8123162083	0.5184694985
79	0.813291189	0.5157521062
80	0.8159802488	0.5110393386
81	0.8176943278	0.5083060833
82	0.8187636615	0.5038682547
83	0.8216886037	0.5000882398
84	0.822522055	0.498476337
85	0.8251482128	0.4945560033
86	0.8267836644	0.4916957981
87	0.8285763709	0.4888238057
88	0.8293626457	0.4852778086
89	0.8325391958	0.4795558026
90	0.8339230394	0.4765706666
91	0.8358572754	0.4729046961
92	0.8365177462	0.4712290742
93	0.8383419037	0.4683427671
94	0.840983787	0.4643297329
95	0.841015238	0.4629243362
96	0.8422732777	0.4607952162
97	0.8432639839	0.4588813756
98	0.844757906	0.4557119774
99	0.8475570442	0.4516685132
100	0.8494126527	0.4476310354
101	0.8516613986	0.4435683748
102	0.8534069287	0.4417531258
103	0.8535012816	0.4394549767
104	0.8543976349	0.437922186
105	0.8579673224	0.4327807047
106	0.8599330094	0.4300449707
107	0.863156736	0.4241425526
108	0.8657671683	0.4193571526
109	0.8670723845	0.4174076806
110	0.8681259927	0.4144444096
111	0.8703118366	0.4101998104
112	0.8722775235	0.4066493549
113	0.8750137598	0.4016860205
114	0.8771052507	0.3981924149
115	0.8789136828	0.3937856883
116	0.8801874479	0.391146813
117	0.8823890173	0.3884806623
118	0.8839301159	0.3851422506
119	0.8848421947	0.3829876234
120	0.8853768615	0.3802353005
