iter	MAE_SumError	MAE_SumWeight
0	3458.526047	5316
1	3090.164116	5316
2	2828.949149	5316
3	2617.491317	5316
4	2447.620961	5316
5	2303.334382	5316
6	2196.905058	5316
7	2106.828486	5316
8	2049.47419	5316
9	1986.749589	5316
10	1935.740855	5316
11	1890.949867	5316
12	1852.831419	5316
13	1826.207853	5316
14	1796.951898	5316
15	1777.453083	5316
16	1761.072702	5316
17	1745.874104	5316
18	1736.851087	5316
19	1725.117472	5316
20	1710.92819	5316
21	1698.663671	5316
22	1689.177879	5316
23	1680.438514	5316
24	1671.37594	5316
25	1665.990986	5316
26	1652.723321	5316
27	1641.873809	5316
28	1634.244274	5316
29	1626.0995	5316
30	1621.441114	5316
31	1617.668092	5316
32	1612.208095	5316
33	1609.663491	5316
34	1606.438405	5316
35	1598.406446	5316
36	1590.827997	5316
37	1583.964711	5316
38	1580.663308	5316
39	1575.250117	5316
40	1568.597691	5316
41	1563.95581	5316
42	1560.283046	5316
43	1556.957191	5316
44	1554.327775	5316
45	1553.031984	5316
46	1552.136077	5316
47	1548.141955	5316
48	1543.400921	5316
49	1537.926008	5316
50	1534.012281	5316
51	1529.152194	5316
52	1526.912439	5316
53	1523.062895	5316
54	1519.414642	5316
55	1514.865858	5316
56	1511.538146	5316
57	1508.508083	5316
58	1504.083811	5316
59	1503.030886	5316
60	1500.137348	5316
61	1497.558497	5316
62	1492.853542	5316
63	1491.147455	5316
64	1488.487522	5316
65	1485.108797	5316
66	1482.323202	5316
67	1479.461269	5316
68	1476.823751	5316
69	1472.534366	5316
70	1468.500777	5316
71	1464.122742	5316
72	1462.171644	5316
73	1459.178517	5316
74	1453.555609	5316
75	1452.95224	5316
76	1450.151543	5316
77	1447.635808	5316
78	1445.002693	5316
79	1443.141414	5316
80	1440.374239	5316
81	1436.700803	5316
82	1435.382979	5316
83	1432.537948	5316
84	1427.291796	5316
85	1423.618697	5316
86	1421.624903	5316
87	1420.654496	5316
88	1419.620055	5316
89	1418.157423	5316
90	1415.404237	5316
91	1413.28528	5316
92	1411.273199	5316
93	1409.016343	5316
94	1404.657795	5316
95	1401.42122	5316
96	1397.173001	5316
97	1394.879856	5316
98	1392.080318	5316
99	1390.666009	5316
100	1387.498286	5316
101	1385.770303	5316
102	1381.977075	5316
103	1378.838009	5316
104	1375.995375	5316
105	1374.148614	5316
106	1373.342179	5316
107	1372.287655	5316
108	1369.144878	5316
109	1366.589943	5316
110	1364.614807	5316
111	1363.590877	5316
112	1362.298863	5316
113	1359.859265	5316
114	1359.201326	5316
115	1356.125551	5316
116	1354.696118	5316
117	1351.81817	5316
118	1350.479184	5316
119	1350.419082	5316
120	1349.384684	5316
121	1348.924194	5316
122	1347.787698	5316
123	1344.631563	5316
124	1341.82745	5316
125	1340.618177	5316
126	1339.495303	5316
127	1339.472808	5316
128	1338.157343	5316
129	1336.716995	5316
130	1335.891134	5316
131	1335.006819	5316
132	1333.613914	5316
133	1332.341584	5316
134	1330.41942	5316
135	1328.823329	5316
136	1328.554971	5316
137	1327.069179	5316
138	1326.202811	5316
139	1325.0542	5316
140	1323.762206	5316
141	1322.376379	5316
142	1320.884238	5316
143	1319.862199	5316
144	1318.7463	5316
145	1317.173919	5316
146	1317.00181	5316
147	1316.67227	5316
148	1315.184937	5316
149	1313.604578	5316
150	1312.594538	5316
151	1311.792717	5316
152	1310.340448	5316
153	1309.726498	5316
154	1308.74821	5316
155	1307.220348	5316
156	1305.441628	5316
157	1304.793082	5316
158	1303.582976	5316
159	1303.254064	5316
160	1302.383066	5316
161	1299.854315	5316
162	1298.199656	5316
163	1298.013093	5316
164	1297.854834	5316
165	1296.332809	5316
166	1295.342282	5316
167	1294.641431	5316
168	1292.597974	5316
169	1291.083991	5316
170	1290.567106	5316
171	1289.646745	5316
172	1288.72933	5316
173	1287.983277	5316
174	1286.198955	5316
175	1285.377074	5316
176	1284.450451	5316
177	1283.751908	5316
178	1282.586839	5316
179	1281.311194	5316
180	1280.490106	5316
181	1279.179099	5316
182	1277.62166	5316
183	1277.150017	5316
184	1276.423428	5316
185	1275.26284	5316
186	1274.801849	5316
187	1274.264569	5316
188	1273.545827	5316
189	1273.126992	5316
190	1272.678704	5316
191	1271.427752	5316
192	1270.564282	5316
193	1270.021889	5316
194	1269.095799	5316
195	1268.667516	5316
196	1267.925396	5316
197	1266.767008	5316
198	1266.17101	5316
199	1265.339118	5316
200	1264.38197	5316
201	1264.38081	5316
202	1263.279516	5316
203	1261.556729	5316
204	1261.324988	5316
205	1260.88416	5316
206	1260.312537	5316
207	1260.061028	5316
208	1259.290596	5316
209	1259.876485	5316
210	1259.456723	5316
211	1258.076909	5316
212	1257.702618	5316
213	1256.325367	5316
214	1255.47552	5316
215	1254.725738	5316
216	1253.885736	5316
217	1254.188203	5316
218	1253.176133	5316
219	1250.915496	5316
220	1249.644324	5316
221	1249.219391	5316
222	1248.90346	5316
223	1248.233765	5316
224	1246.983889	5316
225	1246.550579	5316
226	1245.318408	5316
227	1244.95359	5316
228	1244.603815	5316
229	1243.836448	5316
230	1243.294157	5316
231	1242.379115	5316
232	1241.722817	5316
233	1241.85333	5316
234	1241.821164	5316
235	1240.631341	5316
236	1240.276368	5316
237	1238.905313	5316
238	1238.211024	5316
239	1237.104866	5316
240	1236.274838	5316
241	1236.279953	5316
