iter	Passed	Remaining
0	881	175403
1	1855	183651
2	2665	175026
3	3762	184362
4	4979	194213
5	6059	195921
6	7070	194946
7	7223	173373
8	8516	180738
9	9827	186729
10	11356	195132
11	12753	199808
12	14419	207417
13	15888	211089
14	17255	212822
15	18318	210662
16	19322	208000
17	20456	206839
18	21675	206485
19	22891	206024
20	23811	202964
21	24868	201210
22	25566	196749
23	26614	195170
24	27616	193315
25	28427	190242
26	29677	190155
27	30776	189053
28	31975	188547
29	33306	188736
30	34720	189281
31	35679	187319
32	36867	186571
33	38065	185848
34	39216	184876
35	40505	184527
36	41812	184201
37	42885	182829
38	44162	182310
39	45742	182968
40	47244	183214
41	48439	182224
42	49553	180926
43	50540	179188
44	51474	177299
45	52593	176073
46	54011	175825
47	55196	174788
48	56295	173482
49	57393	172180
50	58534	171012
51	59704	169926
52	60527	167879
53	61775	167023
54	62831	165647
55	64233	165172
56	65555	164464
57	66624	163114
58	67799	162029
59	69313	161732
60	70488	160620
61	71795	159801
62	73113	158993
63	74529	158374
64	75556	156924
65	76353	155019
66	77764	154367
67	79047	153444
68	80103	152079
69	81223	150844
70	82540	149967
71	83913	149180
72	85576	148880
73	87421	148852
74	88565	147608
75	89389	145846
76	90535	144621
77	91761	143524
78	93111	142613
79	94439	141659
80	95621	140481
81	96815	139320
82	98049	138214
83	99631	137586
84	101669	137552
85	103589	137315
86	105585	137140
87	107340	136615
88	108892	135809
89	110110	134579
90	111576	133646
91	112847	132473
92	114136	131318
93	115355	130081
94	116477	128738
95	117852	127673
96	118919	126275
97	120139	125042
98	120991	123435
99	122144	122144
100	123031	120595
101	124057	119192
102	125189	117897
103	126348	116629
104	127606	115453
105	128675	114108
106	129669	112703
107	130697	111334
108	131868	110092
109	133212	108992
110	134350	107722
111	135530	106488
112	136577	105152
113	137621	103819
114	138731	102540
115	139746	101196
116	140863	99928
117	141894	98604
118	142920	97282
119	143975	95983
120	145090	94728
121	146141	93434
122	147301	92213
123	148626	91093
124	149656	89793
125	150923	88637
126	152042	87394
127	153111	86124
128	154469	85018
129	155700	83838
130	156965	82676
131	158218	81506
132	159296	80246
133	160576	79089
134	162233	78112
135	163650	77011
136	164544	75666
137	166138	74641
138	167330	73432
139	168767	72329
140	169842	71068
141	170852	69784
142	171813	68485
143	173156	67338
144	174041	66015
145	175567	64935
146	177104	63854
147	177930	62516
148	179015	61273
149	180330	60110
150	181623	58937
151	182431	57609
152	183462	56357
153	184914	55234
154	185985	53995
155	187123	52778
156	188181	51540
157	189541	50384
158	190702	49174
159	191690	47922
160	192602	46655
161	193775	45453
162	195112	44289
163	196115	43049
164	197482	41890
165	198655	40688
166	199879	39497
167	201126	38309
168	202296	37107
169	203490	35910
170	204622	34701
171	205988	33533
172	207258	32346
173	208758	31193
174	210048	30006
175	211251	28806
176	212518	27615
177	213373	26371
178	214407	25153
179	216109	24012
180	217134	22793
181	218211	21581
182	219521	20392
183	220601	19182
184	221804	17984
185	223223	16801
186	224130	15581
187	225566	14397
188	226643	13190
189	228091	12004
190	229314	10805
191	230438	9601
192	231729	8404
193	233170	7211
194	234322	6008
195	235323	4802
196	236295	3598
197	237619	2400
198	238850	1200
199	239977	0
